banco,ticker,año,precio_accion_medio_anual,precio_accion_cierre_anual,precio_accion_primer_dia_negociacion,volatilidad_anual,rentabilidad_anual_accion
Banco Santander,SAN.MC,2007,4.27768949246874,4.6200270652771,4.2449517250061035,0.20965532455858993,0.0883579754421016
Banco Santander,SAN.MC,2008,3.600189728061045,2.3970394134521484,4.557552337646484,0.5412980094341503,-0.4740511494180718
Banco Santander,SAN.MC,2009,3.2061947509059756,4.421510219573975,2.485819101333618,0.46152409227657176,0.7786934766097326
Banco Santander,SAN.MC,2010,3.738984504714608,3.2282373905181885,4.5019001960754395,0.45391790438678054,-0.2829167129621342
Banco Santander,SAN.MC,2011,3.1198513851091554,2.628697633743286,3.2449333667755127,0.37984058101629836,-0.1899070530513172
Banco Santander,SAN.MC,2012,2.659772771410644,3.083883762359619,2.6716887950897217,0.38248624020127253,0.15428255267884033
Banco Santander,SAN.MC,2013,3.1303247059092802,3.649660348892212,3.1996569633483887,0.2603967921765218,0.14064113456490726
Banco Santander,SAN.MC,2014,4.194876280017928,4.257438659667969,3.5716845989227295,0.2242159980206133,0.19199737315889326
Banco Santander,SAN.MC,2015,3.776555080898106,2.9544811248779297,4.278736114501953,0.32764965117336203,-0.30949676591078285
Banco Santander,SAN.MC,2016,2.7022318728703003,3.378169298171997,2.8630857467651367,0.44114119424350423,0.1799050384672651
Banco Santander,SAN.MC,2017,3.936802620046279,3.937601327896118,3.399287223815918,0.22250971753320634,0.15836087645336075
Banco Santander,SAN.MC,2018,3.5603979497443974,2.9809458255767822,3.919632911682129,0.21839480545523735,-0.23948341777304463
Banco Santander,SAN.MC,2019,3.055614865384996,2.957490921020508,2.9843225479125977,0.2446222376100498,-0.008990860224159545
Banco Santander,SAN.MC,2020,1.8927230686529137,2.09985613822937,3.0653235912323,0.5767261756743017,-0.31496428493371537
Banco Santander,SAN.MC,2021,2.5495492122136056,2.490797519683838,2.123436212539673,0.30526885518605174,0.17300322231238274
Banco Santander,SAN.MC,2022,2.4047644685678446,2.4723544120788574,2.4992685317993164,0.3514343829868417,-0.010768798701707539
Banco Santander,SAN.MC,2023,3.093171267415963,3.474437713623047,2.513817548751831,0.28457023683347205,0.3821359928639953
Banco Santander,SAN.MC,2024,4.072430840693414,4.281427383422852,3.5424647331237793,0.25511379966168163,0.20860127226939193
Banco Santander,SAN.MC,2025,7.121267855636717,10.00515365600586,4.22244930267334,0.3140538517606712,1.3695142176535648
BBVA,BBVA.MC,2007,6.288836140726127,5.998405933380127,6.290234088897705,0.20595954350588333,-0.0463938466189448
BBVA,BBVA.MC,2008,4.503903579524183,3.2863807678222656,5.933984279632568,0.5026412379649314,-0.4461763609482029
BBVA,BBVA.MC,2009,3.7754275282536907,5.047727108001709,3.426793336868286,0.42990291571899164,0.47301766164129955
BBVA,BBVA.MC,2010,3.9186181742697954,3.221574306488037,5.1428937911987305,0.4361798979388831,-0.3735872375973883
BBVA,BBVA.MC,2011,3.25256441261054,3.019824743270874,3.2386202812194824,0.42609816750208673,-0.06755825597010783
BBVA,BBVA.MC,2012,2.8343734135851264,3.3918309211730957,3.0718131065368652,0.4031690046131226,0.10417880370235666
BBVA,BBVA.MC,2013,3.852985973919139,4.6243109703063965,3.551189422607422,0.2606995837252806,0.3021865127405811
BBVA,BBVA.MC,2014,4.760149439643411,4.250258922576904,4.523535251617432,0.24862762623973528,-0.06041211438394669
BBVA,BBVA.MC,2015,4.641602681018412,3.7702012062072754,4.285974025726318,0.2619702586403279,-0.12033969791304044
BBVA,BBVA.MC,2016,3.3484674993656025,3.835948944091797,3.6924376487731934,0.40396181939385567,0.038866274523629375
BBVA,BBVA.MC,2017,4.393113229788986,4.4392595291137695,3.8514981269836426,0.21628595328172176,0.15260591664637285
BBVA,BBVA.MC,2018,3.8326348272834236,3.019052028656006,4.420534610748291,0.23326812078020634,-0.31703916053154657
BBVA,BBVA.MC,2019,3.3022133074700832,3.4165287017822266,3.037287950515747,0.24058240952028725,0.12486163888480921
BBVA,BBVA.MC,2020,2.3434010530724136,2.9240148067474365,3.5036046504974365,0.5957769131133026,-0.16542672520648433
BBVA,BBVA.MC,2021,3.7324807550758123,3.9070184230804443,2.9551751613616943,0.3361493505926584,0.3220936864128747
BBVA,BBVA.MC,2022,3.8761966775827372,4.497333526611328,3.9144604206085205,0.3386601137378447,0.14890254169748315
BBVA,BBVA.MC,2023,5.906283483318254,7.03822135925293,4.615475177764893,0.27482670632683476,0.5249180394598688
BBVA,BBVA.MC,2024,8.388525132089853,8.644037246704102,7.209342956542969,0.28015525437921474,0.19900486061064002
BBVA,BBVA.MC,2025,13.577573370745801,19.442201614379883,8.503202438354492,0.30136262304140604,1.2864563974960785
CaixaBank,CABK.MC,2007,1.841531332050051,1.835699200630188,1.8641034364700317,0.15185021888321706,-0.015237478395314568
CaixaBank,CABK.MC,2008,1.35856364749548,1.051941990852356,1.846349835395813,0.46836351403408355,-0.4302585725164891
CaixaBank,CABK.MC,2009,1.1717845797538757,1.310462474822998,1.1162694692611694,0.2827712713020681,0.17396606366951883
CaixaBank,CABK.MC,2010,1.5086545920930803,1.6992489099502563,1.3379051685333252,0.23847955782517796,0.27008172919539075
CaixaBank,CABK.MC,2011,1.8864510138211084,1.7489451169967651,1.704796552658081,0.3372122934562987,0.02589667621620223
CaixaBank,CABK.MC,2012,1.390074905473739,1.3228849172592163,1.785813808441162,0.35414046658924603,-0.25922573170494
CaixaBank,CABK.MC,2013,1.5769847061119828,2.0334129333496094,1.362014651298523,0.3437748231864053,0.4929449778025413
CaixaBank,CABK.MC,2014,2.4496618158677044,2.4465084075927734,2.016772508621216,0.2963652143996765,0.2130809980473952
CaixaBank,CABK.MC,2015,2.268582111224532,1.880306601524353,2.530097007751465,0.28967984304284705,-0.2568243052485131
CaixaBank,CABK.MC,2016,1.5345843905140917,1.948850154876709,1.8738712072372437,0.42501861228412036,0.04001286072910588
CaixaBank,CABK.MC,2017,2.500252042097204,2.4948229789733887,1.979882836341858,0.26868031994789165,0.26008616933260703
CaixaBank,CABK.MC,2018,2.523971575451648,2.112651824951172,2.547426700592041,0.24896315299268693,-0.1706721828501775
CaixaBank,CABK.MC,2019,1.8362668761983514,1.935617208480835,2.0892815589904785,0.31314028213988365,-0.0735488952402819
CaixaBank,CABK.MC,2020,1.4427556843145348,1.51320219039917,2.0054874420166016,0.5280924195054888,-0.24546912700805457
CaixaBank,CABK.MC,2021,1.8288454129360616,1.755417823791504,1.5333685874938965,0.2901421219728818,0.14481138984366423
CaixaBank,CABK.MC,2022,2.384433777415799,2.800747871398926,1.7532365322113037,0.3840746759721041,0.5974729136327247
CaixaBank,CABK.MC,2023,3.0097287486581243,3.03765606880188,2.8274435997009277,0.2584197105297905,0.07434718383885264
CaixaBank,CABK.MC,2024,4.324806779623032,4.763777256011963,3.1191821098327637,0.2565332987324949,0.5272520450136126
CaixaBank,CABK.MC,2025,7.3802908367998015,10.09630012512207,4.731023788452148,0.27791788370227893,1.1340624305812848
Banco Sabadell,SAB.MC,2007,2.310195111760906,2.1700081825256348,2.409210681915283,0.19608864285284103,-0.09928666728286559
Banco Sabadell,SAB.MC,2008,1.7268701693204445,1.4958916902542114,2.14072322845459,0.35651818322871504,-0.30122134876160006
Banco Sabadell,SAB.MC,2009,1.3972375249768805,1.2730661630630493,1.5390722751617432,0.2979971589267834,-0.17283536088046217
Banco Sabadell,SAB.MC,2010,1.2467418699525297,1.017114520072937,1.3009908199310303,0.30442735736872506,-0.21820007913133657
