año,PIB_crecimiento,inflacion,tasa_desempleo
2007,3.53350013165972,2.78679745804945,8.232
2008,0.767165748290694,4.07534335957339,11.254
2009,-3.76813306940053,-0.28781308353524,17.857
2010,0.0941223116369514,1.79986457728768,19.86
2011,-0.639920636520344,3.1961018883379,21.39
2012,-2.86511368637748,2.44612782366808,24.789
2013,-1.42732224757626,1.40858109183018,26.094
2014,1.52048593647231,-0.151114837527234,24.441
2015,4.06086672473866,-0.500365709903242,22.057
2016,2.91515598595787,-0.202598000426452,19.635
2017,2.89604207865007,1.95607633363963,17.224
2018,2.39541124478878,1.6749813686379,15.255
2019,1.96117850841711,0.699518994458738,14.104
2020,-10.9400706350371,-0.322753017299739,15.532
2021,6.68314420473001,3.09313511976419,14.914
2022,6.37031712129601,8.39057634118626,13.033
2023,2.46085796805582,3.53236133492432,12.179
2024,3.45525405630191,2.77417826534772,11.4
2025,,,10.376
